"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv82",20,20,23,23,20,20,23,23,20,20,23,23,20,20,23,23,20,20,23,23,20,20,23,23,20,20,23,23,20,20,23,23,20,20,23,23,20,20,23,23,20,20,23,23,20,20,23,23
"asv83",19,47,51,59,19,19,47,27,47,47,23,31,19,47,23,31,47,47,23,59,19,47,51,59,47,47,23,31,47,19,23,59,47,47,51,59,19,47,23,59,19,47,23,31,19,47,51,55
"asv84",19,19,22,21,19,19,22,21,19,19,22,21,19,19,22,21,19,19,22,21,19,19,22,21,19,19,22,21,19,19,22,21,19,19,22,21,19,19,22,21,19,19,22,21,19,19,22,21
"asv85",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"asv86",38,43,43,43,38,43,43,43,38,43,43,43,38,43,43,43,38,43,43,43,38,43,43,43,38,43,43,43,38,43,43,43,38,43,43,43,38,43,43,43,38,43,43,43,38,43,43,43
"asv87",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"asv88",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"asv89",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"asv90",18,18,22,22,18,18,18,22,18,22,22,22,18,22,22,18,18,22,22,18,18,22,18,18,18,22,22,18,18,18,22,18,18,18,18,22,18,22,18,22,18,18,22,22,18,18,22,18
"asv91",18,20,20,20,18,20,20,20,18,20,20,20,18,20,20,20,18,20,20,20,18,20,20,20,18,20,20,20,18,20,20,20,18,20,20,20,18,20,20,20,18,20,20,20,18,20,20,20
"asv92",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"asv93",51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
"asv94",17,17,17,11,17,17,17,17,17,17,17,11,17,17,17,17,17,17,17,17,17,17,17,11,17,17,17,17,17,17,17,11,17,17,17,17,17,17,17,11,17,17,17,11,17,17,17,11
"asv95",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"asv96",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"asv97",17,17,16,18,17,17,16,18,17,17,16,18,17,17,16,18,17,17,16,18,17,17,16,18,17,17,16,18,17,17,16,18,17,17,16,18,17,17,16,18,17,17,16,18,17,17,16,18
"asv98",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"asv99",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
