"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv29",38,0,0,0,0,56,0,0,0,0,54,54,55,0,0,54,54,54,55,55,0
"asv30",29,114,115,39,133,31,85,116,126,45,29,2,178,130,31,0,0,53,34,41,42
"asv31",60,0,0,0,0,74,0,0,0,0,71,73,75,0,0,69,70,72,73,73,0
"asv32",50,0,0,0,0,63,67,0,0,0,54,63,67,70,0,51,53,62,66,69,70
"asv33",25,31,32,35,36,29,31,32,35,36,26,29,31,32,35,24,26,29,31,32,35
"asv34",25,0,0,0,0,31,33,0,0,0,33,31,33,31,0,32,33,31,36,39,39
"asv35",36,0,0,0,0,40,40,0,0,0,46,39,39,40,0,21,21,32,32,33,45
"asv36",24,0,0,0,0,55,55,0,0,0,52,54,54,55,0,24,52,54,54,55,56
"asv37",23,0,0,0,0,26,0,0,0,0,25,26,27,0,0,23,24,25,26,26,0
"asv38",22,114,120,134,137,36,114,114,125,128,35,36,114,114,125,37,37,38,94,106,105
"asv39",28,40,2262,47,44,32,2203,2257,43,2298,33,32,1993,43,2272,22,1365,31,38,39,44
"asv40",18,25,25,25,26,25,25,25,25,26,23,25,25,25,25,20,22,24,24,24,24
"asv41",23,0,0,0,0,57,23,0,0,0,45,57,48,22,0,25,26,50,52,53,23
"asv42",18,0,0,0,0,31,41,0,0,0,18,20,27,28,0,18,18,20,26,27,27
"asv43",29,0,0,0,0,47,47,0,0,0,35,54,54,54,0,51,51,51,51,51,51
"asv44",16,0,0,0,0,17,0,0,0,0,17,17,17,0,0,17,17,17,17,18,0
"asv45",20,0,0,0,0,28,0,0,0,0,26,28,28,0,0,26,26,28,28,29,0
"asv46",15,22,22,22,24,25,29,22,22,24,6,25,22,22,22,7,7,26,29,29,29
"asv47",13,66,71,71,72,14,63,68,68,69,13,14,63,68,68,13,13,14,63,68,68
"asv48",13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15
"asv49",11,0,0,0,0,14,0,0,0,0,14,14,15,0,0,14,14,14,15,15,0
"asv50",10,0,0,0,0,17,18,0,0,0,11,16,17,17,0,10,0,15,16,16,17
"asv51",10,0,0,0,0,57,58,0,0,0,19,41,42,43,0,19,18,30,31,32,32
"asv52",10,3,0,114,0,0,3,4,14,11625,0,10402,10963,0,0,0,12,0,10924,0,0
"asv53",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv54",9,0,0,0,0,25,0,0,0,0,23,25,26,0,0,22,23,25,26,27,0
"asv55",8,6,0,0,6,0,0,0,6,6,0,0,9,16,0,7,7,0,8,9,9
"asv56",8,12,12,13,13,15,15,15,16,16,29,17,17,17,18,24,24,12,12,12,13
"asv57",7,7,8,8,8,7,7,8,8,8,7,7,7,8,8,7,7,7,7,8,8
"asv58",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0
"asv59",7,0,0,0,0,5,0,0,0,0,6,5,0,0,0,11,12,12,12,12,0
"asv60",7,3,0,0,5,35,0,3,0,2,0,25,0,0,12,2,2,0,0,61,86
