"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv185",0,0,0,0,0,0,2,0,21,4,12,21,23,31,0,0,1,6,2096,2,0
"asv186",0,0,0,0,0,0,0,2,2,0,1,2,0,2,0,1,0,2,0,0,2
"asv187",0,0,0,0,0,0,0,0,2097,0,0,0,0,0,0,0,0,0,0,0,0
"asv188",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,3,3,3,3,0
"asv189",0,0,0,0,0,0,0,0,0,0,0,12,12,12,0,0,0,12,12,12,12
"asv190",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"asv191",0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
"asv192",0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
"asv193",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,0
"asv194",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,9,0
"asv195",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"asv196",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7
"asv197",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"asv198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12
