"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv62",22,29,29,29,22,29,29,29,22,29,29,29,22,29,29,29,22,29,29,29,22,29,29,29,22,29,29,29,22,29,29,29,22,29,29,29,22,29,29,29,22,29,29,29,22,29,29,29
"asv63",35,40,40,39,35,40,40,39,35,40,40,39,35,40,40,39,35,40,40,39,35,40,40,39,35,40,40,39,35,40,40,39,35,40,40,39,35,40,40,39,35,40,40,39,35,40,40,39
"asv64",20,20,21,25,20,20,21,25,20,20,21,25,20,20,21,25,20,20,21,25,20,20,21,25,20,20,21,25,20,20,21,25,20,20,21,25,20,20,21,25,20,20,21,25,20,20,21,25
"asv65",32,28,28,26,32,28,28,26,32,28,28,26,32,28,28,26,32,28,28,26,32,28,28,26,32,28,28,26,32,28,28,26,32,28,28,26,32,28,28,26,32,28,28,26,32,28,28,26
"asv66",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"asv67",18,14,14,14,18,14,14,14,18,14,14,14,18,14,14,14,18,14,14,14,18,14,14,14,18,14,14,14,18,14,14,14,18,14,14,14,18,14,14,14,18,14,14,14,18,14,14,14
"asv68",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"asv69",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"asv70",16,14,21,26,16,14,21,26,16,14,21,26,16,14,21,26,16,14,21,26,16,14,21,26,16,14,21,26,16,14,21,26,16,14,21,26,16,14,21,26,16,14,21,26,16,14,21,26
"asv71",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
