"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track75","140892","39171","38850","38878","2489","2489","0","33","Truncq_15","rmphix_TRUE","MaxEE_2-2","TruncLen_180-160"
"track76","140892","100502","99471","99029","77305","63139","118","84","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track77","140892","100502","99471","99029","77305","63139","118","84","Truncq_4","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track78","140892","100502","99471","99029","77305","63139","118","84","Truncq_7","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track79","140892","100502","99471","99029","77305","63139","118","84","Truncq_11","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track80","140892","129060","127879","128940","4324","4324","0","21","Truncq_15","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track81","140892","43168","42489","42207","38836","31865","159","81","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track82","140892","43168","42489","42207","38836","31865","159","81","Truncq_4","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track83","140892","43168","42489","42207","38836","31865","159","81","Truncq_7","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track84","140892","43168","42489","42207","38836","31865","158","82","Truncq_11","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track85","140892","2767","2679","2683","2447","2336","45","12","Truncq_15","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track86","140892","114947","114097","113826","5677","5614","10","88","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_230-210"
"track87","140892","114947","114097","113826","5677","5614","9","89","Truncq_4","rmphix_FALSE","MaxEE_2-2","TruncLen_230-210"
"track88","140892","114947","114097","113826","5677","5614","9","89","Truncq_7","rmphix_FALSE","MaxEE_2-2","TruncLen_230-210"
"track89","140892","114947","114097","113826","5677","5614","9","89","Truncq_11","rmphix_FALSE","MaxEE_2-2","TruncLen_230-210"
"track90","140892","13656","13429","13523","832","832","0","27","Truncq_15","rmphix_FALSE","MaxEE_2-2","TruncLen_230-210"
"track91","140892","120557","119729","119414","6080","6019","5","97","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_210-190"
"track92","140892","120557","119729","119414","6080","6019","5","97","Truncq_4","rmphix_FALSE","MaxEE_2-2","TruncLen_210-190"
"track93","140892","120557","119729","119414","6080","6019","5","97","Truncq_7","rmphix_FALSE","MaxEE_2-2","TruncLen_210-190"
"track94","140892","120557","119729","119414","6080","6019","5","97","Truncq_11","rmphix_FALSE","MaxEE_2-2","TruncLen_210-190"
"track95","140892","24401","24112","24164","1803","1803","0","35","Truncq_15","rmphix_FALSE","MaxEE_2-2","TruncLen_210-190"
"track96","140892","127640","126872","126155","5678","5606","3","81","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_180-160"
"track97","140892","127640","126872","126155","5678","5606","4","80","Truncq_4","rmphix_FALSE","MaxEE_2-2","TruncLen_180-160"
"track98","140892","127640","126872","126155","5678","5606","3","81","Truncq_7","rmphix_FALSE","MaxEE_2-2","TruncLen_180-160"
"track99","140892","127640","126872","126155","5678","5606","3","81","Truncq_11","rmphix_FALSE","MaxEE_2-2","TruncLen_180-160"
"track100","140892","39171","38850","38878","2489","2489","0","32","Truncq_15","rmphix_FALSE","MaxEE_2-2","TruncLen_180-160"
"track101","140892","116381","115112","114074","86762","70737","123","84","Truncq_2","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track102","140892","116381","115112","114074","86762","70737","124","83","Truncq_4","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track103","140892","116381","115112","114074","86762","70737","124","83","Truncq_7","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track104","140892","116381","115112","114074","86762","70737","123","84","Truncq_11","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track105","140892","129060","127879","128940","4324","4324","2","20","Truncq_15","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track106","140892","49117","48167","47940","43610","35348","159","84","Truncq_2","rmphix_TRUE","MaxEE_3-3","TruncLen_250-230"
"track107","140892","49117","48167","47940","43610","35348","160","83","Truncq_4","rmphix_TRUE","MaxEE_3-3","TruncLen_250-230"
"track108","140892","49117","48167","47940","43610","35348","160","83","Truncq_7","rmphix_TRUE","MaxEE_3-3","TruncLen_250-230"
