trackID,filtered,denoisedF,denoisedR,merged,nonchim,assignes,badassignes,PRM_TRUNCQ,PRM_RMPHIX,PRM_MAXEE,Trunclen
track191,112702,112419,111372,2103,2095,8,45,Truncq_2,rmphix_FALSE,MaxEE_2-5,TruncLen_210-190
track192,112702,112419,111372,2103,2095,8,45,Truncq_4,rmphix_FALSE,MaxEE_2-5,TruncLen_210-190
track193,112702,112419,111372,2103,2095,8,45,Truncq_7,rmphix_FALSE,MaxEE_2-5,TruncLen_210-190
track194,112702,112419,111372,2103,2095,8,45,Truncq_11,rmphix_FALSE,MaxEE_2-5,TruncLen_210-190
track195,25380,25279,25296,695,692,3,16,Truncq_15,rmphix_FALSE,MaxEE_2-5,TruncLen_210-190
track196,116734,116351,115159,2055,2051,6,44,Truncq_2,rmphix_FALSE,MaxEE_2-5,TruncLen_180-160
track197,116734,116351,115159,2055,2051,6,44,Truncq_4,rmphix_FALSE,MaxEE_2-5,TruncLen_180-160
track198,116734,116351,115159,2055,2051,6,44,Truncq_7,rmphix_FALSE,MaxEE_2-5,TruncLen_180-160
track199,116734,116351,115159,2055,2051,6,44,Truncq_11,rmphix_FALSE,MaxEE_2-5,TruncLen_180-160
track200,39338,39235,39223,996,994,2,27,Truncq_15,rmphix_FALSE,MaxEE_2-5,TruncLen_180-160
track201,111608,111212,110750,107984,99581,18,57,Truncq_2,rmphix_TRUE,MaxEE_3-5,TruncLen_0-0
track202,111608,111212,110750,107984,99581,20,55,Truncq_4,rmphix_TRUE,MaxEE_3-5,TruncLen_0-0
track203,111608,111212,110750,107984,99581,20,55,Truncq_7,rmphix_TRUE,MaxEE_3-5,TruncLen_0-0
track204,111608,111212,110750,107984,99581,19,56,Truncq_11,rmphix_TRUE,MaxEE_3-5,TruncLen_0-0
track205,113927,113479,113862,1782,1782,0,17,Truncq_15,rmphix_TRUE,MaxEE_3-5,TruncLen_0-0
track206,111102,110783,110225,109515,100801,28,36,Truncq_2,rmphix_TRUE,MaxEE_3-5,TruncLen_250-230
